,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
1084,Product Design,23,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,Instagram,Email",10-15 hours,no  ,linkedin
1085,Product Development,21,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,referral
1086,Product Design,31,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
1087,"Product Development,Product Growth ,Product Marketing",31,USA,Americas,Employed, No- I have not ,"LinkedIn,Email",20-25 hours,english  ,linkedin
1088,"Product Design,Product Development",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,linkedin
1089,Product Design,28,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
1090,"Product Marketing,Product Design",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,english  ,linkedin
1091,Product Design,31,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
1092,"Product Design,Product Development",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,no  ,linkedin
1093,Product Growth,21,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1094,"Product Development,Product Growth ",36,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1095,"Product Design,Product Development,Product Growth ,Product Marketing",22,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,Instagram",20-25 hours,english  ,referral
1096,"Product Development,Product Design",29,USA,Americas,Currently Unemployed, No- I have not ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1097,"Product Marketing,Product Growth ,Product Development",23,USA,Americas,University Student, No- I have not ,Email,15-20 hours,english  ,linkedin
1098,"Product Marketing,Product Growth ",21,USA,Americas,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,linkedin
1099,"Product Design,Product Development",27,USA,Americas,University Student, No- I have not ,"Email,LinkedIn,WhatsApp",10-15 hours,english  ,referral
1100,"Product Development,Product Growth ,Product Marketing,Product Design",20,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,linkedin
1101,Product Design,32,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
1102,"Product Marketing,Product Design",26,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
1103,Product Design,31,USA,Americas,Employed, No- I have not ,Email,10-15 hours,english  ,referral
1104,Product Marketing,41,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,no  ,referral
1105,Product Design,34,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
1106,Product Development,20,USA,Americas,University Student, No- I have not ,Email,15-20 hours,no  ,linkedin
1107,"Product Development,Product Growth ",25,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,linkedin
1108,Product Design,23,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,hindi  ,linkedin
1109,"Product Design,Product Marketing",22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1110,"Product Marketing,Product Design",16,USA,Americas,High School Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
1111,Product Design,31,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
1112,Product Design,23,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1113,Product Design,26,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,linkedin
1114,"Product Growth ,Product Marketing",22,USA,Americas,University Student, No- I have not ,Email,15-20 hours,english  ,web
1115,Product Design,47,USA,Americas,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,google
1116,"Product Marketing,Product Development,Product Design",24,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,english  ,google
1117,"Product Design,Product Development",40,USA,Americas,Currently Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
1118,Product Design,22,USA,Americas,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,spanish  ,linkedin
1119,Product Design,31,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,referral
1120,"Product Marketing,Product Design,Product Development,Product Growth ",32,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,google
1121,Product Design,21,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,english  ,referral
1122,Product Design,23,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
1123,Product Design,24,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,referral
1124,Product Design,34,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
1125,Product Design,23,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,indeed
1126,Product Design,20,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,english  ,linkedin
1127,"Product Marketing,Product Design",21,USA,Americas,University Student, No- I have not ,"LinkedIn,Email",10-15 hours,english  ,referral
1128,Product Design,24,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,no  ,referral
1129,Product Design,27,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,None  ,linkedin
1130,Product Design,31,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,no  ,referral
1131,Product Design,34,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
1132,Product Design,22,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
1133,Product Design,19,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,no  ,linkedin
1134,Product Design,25,USA,Americas,University Student, No- I have not ,"Email,LinkedIn",10-15 hours,english  ,referral
1135,"Product Design,Product Development",23,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,referral
1136,Product Design,25,USA,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
1137,Product Marketing,21,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1138,Product Design,21,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,referral
1139,Product Design,33,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
1140,Product Development,32,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,english  ,referral
1141,Product Design,37,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,None  ,referral
1142,Product Growth,23,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,Email",20-25 hours,english  ,linkedin
1143,Product Design,26,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email,LinkedIn",20-25 hours,"english,spanish ",referral
1144,"Product Design,Product Development",26,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",10-15 hours,english  ,linkedin
1145,"Product Design,Product Marketing",21,USA,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,"english,spanish ",linkedin
1146,Product Marketing,19,USA,Americas,University Student, No- I have not ,"Email,Instagram",20-25 hours,english  ,linkedin
1147,Product Design,28,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,None  ,linkedin
1148,Product Design,42,USA,Americas,Employed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
1149,Product Marketing,26,USA,Americas,University Student, No- I have not ,Email,10-15 hours,no  ,linkedin
1150,"Product Design,Product Marketing",25,USA,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",15-20 hours,english  ,linkedin
1151,Product Development,16,USA,Americas,High School Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",20-25 hours,english  ,linkedin
1152,Product Design,24,USA,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,linkedin
1153,Product Growth,19,USA,Americas,University Student, No- I have not ,Email,15-20 hours,english  ,linkedin
1154,Product Growth,20,USA,Americas,University Student, No- I have not ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
1155,Product Development,18,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
1156,Product Development,19,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
1157,Product Development,18,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1158,Product Development,24,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",20-25 hours,english  ,linkedin
1159,Product Development,22,USA,Americas,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,referral
1160,Product Development,20,USA,Americas,University Student, No- I have not ,"Email,LinkedIn",15-20 hours,english  ,linkedin
1161,"Product Marketing,Product Development",20,USA,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,"english,spanish ",linkedin
1162,Product Design,26,USA,Americas,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,referral
1163,Product Development,19,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1164,Product Development,23,USA,Americas,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,linkedin
1165,Product Marketing,22,USA,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",10-15 hours,english  ,referral
1166,Product Development,20,USA,Americas,University Student, No- I have not ,Email,10-15 hours,no  ,linkedin
1167,Product Development,19,USA,Americas,University Student, No- I have not ,Email,10-15 hours,english  ,linkedin
1168,Product Design,42,USA,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,Email",10-15 hours,None  ,linkedin
1169,"Product Design,Product Development",40,USA,Americas,Currently Unemployed, No- I have not ,Email,15-20 hours,english  ,google
